, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
56471,75759,GRC,64,82,0,178.0,23.25,0,0,1,2,2,84,84,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
56511,75846,AUT,62,81,0,267.0,33.0,0,0,1,3,3,84,84,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
56521,75858,PRT,43,81,8,60.0,16.0,0,0,1,1,1,82,82,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56537,75881,PRT,49,81,7,89.0,16.0,0,0,1,1,1,82,82,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56560,75922,USA,66,81,34,279.0,42.0,0,0,1,6,3,84,84,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56561,75924,ISR,22,81,4,372.0,56.0,0,0,1,8,4,85,85,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56588,75979,PCN,33,80,28,178.0,14.0,0,0,1,2,2,82,82,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56591,75984,PRT,35,80,14,356.0,60.0,0,0,2,4,4,78,82,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
56592,75985,GRC,50,80,12,334.0,72.0,0,0,2,6,4,34,82,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
56595,75992,PRT,51,80,5,177.0,29.5,0,0,2,3,3,15,82,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
56601,76004,PRT,50,80,43,177.0,21.0,0,0,1,3,3,83,83,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
56631,76063,DEU,60,80,68,1358.0,238.5,0,0,2,24,12,30,86,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56648,76098,DEU,33,79,46,534.0,44.5,0,0,1,6,6,85,85,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56709,76214,USA,74,78,331,123.0,62.0,0,0,1,2,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0
56710,76216,USA,65,78,331,123.0,62.0,0,0,1,2,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,0,1,0,0,0,0
56715,76226,USA,67,78,331,123.0,62.0,0,0,1,2,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,0,1,0,1,0,0
56719,76237,USA,75,78,331,123.0,62.0,0,0,1,2,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0
56723,76245,USA,85,78,331,119.0,31.0,0,0,1,1,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0
56724,76246,USA,63,78,331,123.0,62.0,0,0,1,2,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
56729,76256,USA,28,78,331,123.0,62.0,0,0,1,2,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0
56730,76258,ESP,40,78,331,119.0,31.0,0,0,1,1,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0
56753,76303,USA,83,78,331,119.0,31.0,0,0,1,1,1,79,79,Corporate,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0
56822,76439,PRT,27,77,5,118.0,27.0,0,0,1,4,2,79,79,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56871,76531,BRA,53,76,3,356.0,192.0,0,0,2,4,4,72,79,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56926,76643,PRT,39,75,83,714.0,42.0,0,0,1,2,2,77,77,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56927,76644,DEU,35,75,20,357.0,21.0,0,0,1,3,3,78,78,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56995,76769,ITA,53,74,50,218.0,43.0,0,0,1,2,2,76,76,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56997,76771,ESP,48,74,22,89.0,7.0,0,0,1,1,1,75,75,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
57020,76815,ESP,52,74,34,218.0,14.0,0,0,1,2,2,76,76,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
57056,76889,NLD,31,73,48,327.0,46.75,0,0,1,3,3,76,76,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
57066,76904,ESP,36,73,83,984.0,157.5,0,0,1,8,4,77,77,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57070,76912,PRT,39,73,23,238.0,14.0,0,0,1,2,2,75,75,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
57072,76914,TUR,31,73,23,615.0,70.0,0,0,1,10,5,78,78,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57073,76916,GBR,33,73,21,492.0,56.0,0,0,1,8,4,77,77,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57075,76920,ESP,36,73,20,615.0,71.5,0,0,1,10,5,78,78,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57085,76939,AUT,29,73,41,615.0,70.0,0,0,1,10,5,78,78,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57101,76967,NLD,29,73,21,492.0,68.0,0,0,1,8,4,77,77,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57102,76969,BEL,27,73,83,984.0,160.0,0,0,1,8,4,77,77,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57103,76970,BEL,29,73,2,357.0,21.0,0,0,1,1,1,73,73,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57104,76971,BEL,28,73,24,492.0,56.0,0,0,1,8,4,77,77,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
57105,76973,PRT,29,73,5,738.0,89.5,0,0,1,8,4,77,77,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
